Craving Type,Cuisine,Mood Associated,Description,Food Name
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #824",Lemon Pickle
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #406",Sour Candy
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #684",Lemon Pickle
Cold,Various,Happy/Chill,Frozen sweet treat #653,Ice Cream
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #994",Sour Candy
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #79",Lemon Pickle
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #732",Spicy Ramen
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #607",Fried Chicken
Cold,Various,Tired/Hot Day,Coffee served over ice #574,Cold Coffee
Cold,Various,Happy/Chill,Frozen sweet treat #77,Ice Cream
Crunchy,Indian,Rainy Day,Fried vegetable fritters #378,Pakora
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #227",Spicy Ramen
Warm,Western,Cozy/Winter,Warm milk with chocolate #427,Hot Chocolate
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #574,Nachos
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #991,Nachos
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #715,Khichdi
Warm,Western,Cozy/Winter,Warm milk with chocolate #796,Hot Chocolate
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #111,Khichdi
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #533",Fried Chicken
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #837,Chicken 65
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #121,Gulab Jamun
Comfort,Western,Low Mood,"Creamy, cheesy pasta #172",Mac & Cheese
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #236,Nachos
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #994",Spicy Ramen
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #140",Spicy Ramen
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #685,Chicken 65
Crunchy,Indian,Rainy Day,Fried vegetable fritters #633,Pakora
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #820",Tomato Soup
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #51,Chicken 65
Cold,Various,Happy/Chill,Frozen sweet treat #685,Ice Cream
Crunchy,Indian,Rainy Day,Fried vegetable fritters #808,Pakora
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #88,Khichdi
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #589,Khichdi
Warm,Western,Cozy/Winter,Warm milk with chocolate #843,Hot Chocolate
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #515,Nachos
Sweet,Western,Comfort,Rich chocolate dessert #426,Chocolate Cake
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #56,Nachos
Cold,Various,Tired/Hot Day,Coffee served over ice #338,Cold Coffee
Cold,Various,Happy/Chill,Frozen sweet treat #704,Ice Cream
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #783",Sour Candy
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #752,Gulab Jamun
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #11,Khichdi
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #755,Chicken 65
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #920,Chicken 65
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #152",Sour Candy
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #843,Chicken 65
Sweet,Western,Comfort,Rich chocolate dessert #152,Chocolate Cake
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #709,Gulab Jamun
Crunchy,Indian,Rainy Day,Fried vegetable fritters #183,Pakora
Cold,Various,Tired/Hot Day,Coffee served over ice #559,Cold Coffee
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #63,Khichdi
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #312",Sour Candy
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #8,Gulab Jamun
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #128,Nachos
Cold,Various,Tired/Hot Day,Coffee served over ice #378,Cold Coffee
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #760",Lemon Pickle
Cold,Various,Tired/Hot Day,Coffee served over ice #303,Cold Coffee
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #1",Fried Chicken
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #379,Chicken 65
Warm,Western,Cozy/Winter,Warm milk with chocolate #903,Hot Chocolate
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #113,Nachos
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #352,Khichdi
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #354,Gulab Jamun
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #915",Lemon Pickle
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #822,Khichdi
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #709,Nachos
Cold,Various,Tired/Hot Day,Coffee served over ice #116,Cold Coffee
Cold,Various,Happy/Chill,Frozen sweet treat #117,Ice Cream
Warm,Western,Cozy/Winter,Warm milk with chocolate #143,Hot Chocolate
Cold,Various,Happy/Chill,Frozen sweet treat #455,Ice Cream
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #468,Gulab Jamun
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #250",Lemon Pickle
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #204,Khichdi
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #699",Lemon Pickle
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #799",Sour Candy
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #105",Tomato Soup
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #351",Spicy Ramen
Comfort,Western,Low Mood,"Creamy, cheesy pasta #406",Mac & Cheese
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #812,Khichdi
Salty,American,Snack Craving,Fried potato sticks with salt #680,French Fries
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #466",Sour Candy
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #776,Gulab Jamun
Warm,Western,Cozy/Winter,Warm milk with chocolate #154,Hot Chocolate
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #600,Gulab Jamun
Salty,American,Snack Craving,Fried potato sticks with salt #940,French Fries
Sweet,Western,Comfort,Rich chocolate dessert #122,Chocolate Cake
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #370",Sour Candy
Sweet,Western,Comfort,Rich chocolate dessert #273,Chocolate Cake
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #192,Nachos
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #595",Sour Candy
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #277",Lemon Pickle
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #281,Khichdi
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #750,Gulab Jamun
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #700,Chicken 65
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #718",Tomato Soup
Cold,Various,Tired/Hot Day,Coffee served over ice #845,Cold Coffee
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #90",Fried Chicken
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #60,Gulab Jamun
Cold,Various,Happy/Chill,Frozen sweet treat #815,Ice Cream
Crunchy,Indian,Rainy Day,Fried vegetable fritters #840,Pakora
Cold,Various,Happy/Chill,Frozen sweet treat #306,Ice Cream
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #392",Lemon Pickle
Crunchy,Indian,Rainy Day,Fried vegetable fritters #499,Pakora
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #180",Spicy Ramen
Salty,American,Snack Craving,Fried potato sticks with salt #9,French Fries
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #137,Gulab Jamun
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #124",Spicy Ramen
Salty,American,Snack Craving,Fried potato sticks with salt #535,French Fries
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #275,Khichdi
Comfort,Western,Low Mood,"Creamy, cheesy pasta #363",Mac & Cheese
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #849",Fried Chicken
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #711",Fried Chicken
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #403",Tomato Soup
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #903,Chicken 65
Cold,Various,Happy/Chill,Frozen sweet treat #914,Ice Cream
Crunchy,Indian,Rainy Day,Fried vegetable fritters #776,Pakora
Sweet,Western,Comfort,Rich chocolate dessert #817,Chocolate Cake
Cold,Various,Happy/Chill,Frozen sweet treat #260,Ice Cream
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #281,Gulab Jamun
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #973",Spicy Ramen
Cold,Various,Happy/Chill,Frozen sweet treat #127,Ice Cream
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #574,Khichdi
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #948",Sour Candy
Comfort,Western,Low Mood,"Creamy, cheesy pasta #70",Mac & Cheese
Cold,Various,Tired/Hot Day,Coffee served over ice #894,Cold Coffee
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #468,Chicken 65
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #168",Spicy Ramen
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #967,Chicken 65
Cold,Various,Tired/Hot Day,Coffee served over ice #407,Cold Coffee
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #44",Fried Chicken
Comfort,Western,Low Mood,"Creamy, cheesy pasta #33",Mac & Cheese
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #117",Spicy Ramen
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #618,Chicken 65
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #138",Lemon Pickle
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #722,Chicken 65
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #236,Nachos
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #358",Lemon Pickle
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #827",Sour Candy
Comfort,Western,Low Mood,"Creamy, cheesy pasta #852",Mac & Cheese
Cold,Various,Happy/Chill,Frozen sweet treat #532,Ice Cream
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #697,Gulab Jamun
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #833,Nachos
Warm,Western,Cozy/Winter,Warm milk with chocolate #789,Hot Chocolate
Cold,Various,Happy/Chill,Frozen sweet treat #277,Ice Cream
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #272",Fried Chicken
Cold,Various,Tired/Hot Day,Coffee served over ice #867,Cold Coffee
Salty,American,Snack Craving,Fried potato sticks with salt #348,French Fries
Crunchy,Indian,Rainy Day,Fried vegetable fritters #946,Pakora
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #889",Fried Chicken
Comfort,Western,Low Mood,"Creamy, cheesy pasta #112",Mac & Cheese
Comfort,Western,Low Mood,"Creamy, cheesy pasta #741",Mac & Cheese
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #695,Nachos
Sweet,Western,Comfort,Rich chocolate dessert #920,Chocolate Cake
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #146",Fried Chicken
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #738",Sour Candy
Crunchy,Indian,Rainy Day,Fried vegetable fritters #78,Pakora
Warm,Western,Cozy/Winter,Warm milk with chocolate #621,Hot Chocolate
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #415",Tomato Soup
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #214",Lemon Pickle
Crunchy,Indian,Rainy Day,Fried vegetable fritters #647,Pakora
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #808,Khichdi
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #308",Sour Candy
Cold,Various,Happy/Chill,Frozen sweet treat #275,Ice Cream
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #176",Sour Candy
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #945",Lemon Pickle
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #710",Sour Candy
Cold,Various,Tired/Hot Day,Coffee served over ice #939,Cold Coffee
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #368",Spicy Ramen
Sweet,Western,Comfort,Rich chocolate dessert #690,Chocolate Cake
Cold,Various,Happy/Chill,Frozen sweet treat #454,Ice Cream
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #368",Tomato Soup
Warm,Western,Cozy/Winter,Warm milk with chocolate #381,Hot Chocolate
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #278",Lemon Pickle
Warm,Western,Cozy/Winter,Warm milk with chocolate #484,Hot Chocolate
Sweet,Western,Comfort,Rich chocolate dessert #534,Chocolate Cake
Cold,Various,Tired/Hot Day,Coffee served over ice #722,Cold Coffee
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #212",Spicy Ramen
Cold,Various,Tired/Hot Day,Coffee served over ice #521,Cold Coffee
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #632,Gulab Jamun
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #6,Gulab Jamun
Warm,Western,Cozy/Winter,Warm milk with chocolate #930,Hot Chocolate
Warm,Western,Cozy/Winter,Warm milk with chocolate #822,Hot Chocolate
Crunchy,Indian,Rainy Day,Fried vegetable fritters #572,Pakora
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #756,Nachos
Warm,Western,Cozy/Winter,Warm milk with chocolate #17,Hot Chocolate
Warm,Western,Cozy/Winter,Warm milk with chocolate #360,Hot Chocolate
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #744,Nachos
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #17",Lemon Pickle
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #703,Nachos
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #48",Sour Candy
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #150",Sour Candy
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #987",Sour Candy
Cold,Various,Happy/Chill,Frozen sweet treat #953,Ice Cream
Cold,Various,Happy/Chill,Frozen sweet treat #214,Ice Cream
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #138,Gulab Jamun
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #344,Nachos
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #309",Spicy Ramen
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #98,Gulab Jamun
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #617,Nachos
Crunchy,Indian,Rainy Day,Fried vegetable fritters #421,Pakora
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #16",Fried Chicken
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #700",Sour Candy
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #650",Spicy Ramen
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #90,Chicken 65
Sweet,Western,Comfort,Rich chocolate dessert #470,Chocolate Cake
Warm,Western,Cozy/Winter,Warm milk with chocolate #72,Hot Chocolate
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #788,Khichdi
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #650,Gulab Jamun
Comfort,Western,Low Mood,"Creamy, cheesy pasta #529",Mac & Cheese
Cold,Various,Tired/Hot Day,Coffee served over ice #459,Cold Coffee
Crunchy,Indian,Rainy Day,Fried vegetable fritters #412,Pakora
Sweet,Western,Comfort,Rich chocolate dessert #72,Chocolate Cake
Cold,Various,Tired/Hot Day,Coffee served over ice #547,Cold Coffee
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #689",Spicy Ramen
Cold,Various,Happy/Chill,Frozen sweet treat #323,Ice Cream
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #585",Tomato Soup
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #219,Chicken 65
Sweet,Western,Comfort,Rich chocolate dessert #949,Chocolate Cake
Sweet,Western,Comfort,Rich chocolate dessert #956,Chocolate Cake
Comfort,Western,Low Mood,"Creamy, cheesy pasta #752",Mac & Cheese
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #739",Lemon Pickle
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #418,Khichdi
Sweet,Western,Comfort,Rich chocolate dessert #406,Chocolate Cake
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #631,Nachos
Sweet,Western,Comfort,Rich chocolate dessert #936,Chocolate Cake
Salty,American,Snack Craving,Fried potato sticks with salt #765,French Fries
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #197",Fried Chicken
Warm,Western,Cozy/Winter,Warm milk with chocolate #720,Hot Chocolate
Crunchy,Indian,Rainy Day,Fried vegetable fritters #25,Pakora
Salty,American,Snack Craving,Fried potato sticks with salt #188,French Fries
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #154,Khichdi
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #965",Tomato Soup
Cold,Various,Happy/Chill,Frozen sweet treat #706,Ice Cream
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #152",Tomato Soup
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #782",Fried Chicken
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #258,Nachos
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #697,Chicken 65
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #872",Sour Candy
Salty,American,Snack Craving,Fried potato sticks with salt #331,French Fries
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #310,Nachos
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #433,Gulab Jamun
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #568,Nachos
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #600,Nachos
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #250",Lemon Pickle
Cold,Various,Happy/Chill,Frozen sweet treat #852,Ice Cream
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #117",Fried Chicken
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #898,Gulab Jamun
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #891",Lemon Pickle
Crunchy,Indian,Rainy Day,Fried vegetable fritters #630,Pakora
Crunchy,Indian,Rainy Day,Fried vegetable fritters #867,Pakora
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #649",Sour Candy
Crunchy,Indian,Rainy Day,Fried vegetable fritters #383,Pakora
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #158,Nachos
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #925,Gulab Jamun
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #508",Spicy Ramen
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #267",Sour Candy
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #982,Nachos
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #394,Gulab Jamun
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #161",Tomato Soup
Cold,Various,Happy/Chill,Frozen sweet treat #996,Ice Cream
Cold,Various,Happy/Chill,Frozen sweet treat #736,Ice Cream
Cold,Various,Tired/Hot Day,Coffee served over ice #518,Cold Coffee
Sweet,Western,Comfort,Rich chocolate dessert #404,Chocolate Cake
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #64,Chicken 65
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #416",Lemon Pickle
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #527",Lemon Pickle
Crunchy,Indian,Rainy Day,Fried vegetable fritters #625,Pakora
Comfort,Western,Low Mood,"Creamy, cheesy pasta #484",Mac & Cheese
